	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	s_IP	s_IP	s_IP	s_IP	s_IP	s_IP	s_IP	s_IP	s_IP
									
pi_r_yoy	0.484	1.103	2.102	0.410	1.224	-2.444	0.331	1.347	23.064
	(0.098)	(0.812)	(2.873)	(2.202)	(0.864)	(0.828)	(0.430)	(0.263)	(10.057)
Constant	-0.000	-0.017	-0.007	-0.002	0.004	0.013	-0.003	0.005	-0.125
	(0.001)	(0.016)	(0.024)	(0.020)	(0.010)	(0.010)	(0.005)	(0.006)	(0.136)
									
Observations	158	158	158	158	158	158	158	158	158
t-test	4.933	1.358	0.732	0.186	1.417	-2.950	0.771	5.118	2.293
CI-low	0.292	-0.489	-3.529	-3.906	-0.469	-4.068	-0.511	0.831	3.352
CI-high	0.676	2.695	7.734	4.726	2.918	-0.820	1.174	1.863	42.78
p-val	2.06e-06	0.177	0.465	0.852	0.159	0.00367	0.442	8.96e-07	0.0232
Standard errors in parentheses									
