	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	s_T	s_T	s_T	s_T	s_T	s_T	s_T	s_T	s_T
									
i_diff	-91.652	-59.462	-234.473	-188.548	-94.585	-50.906	-101.381	-49.199	-461.936
	(12.553)	(5.398)	(6.882)	(7.171)	(15.208)	(6.576)	(2.663)	(5.527)	(8.466)
Constant	-0.018	0.056	0.097	0.077	-0.006	0.021	0.088	-0.036	0.092
	(0.008)	(0.010)	(0.009)	(0.009)	(0.010)	(0.008)	(0.004)	(0.007)	(0.013)
									
Observations	158	158	158	158	158	158	158	158	158
t-test	-7.301	-11.02	-34.07	-26.29	-6.219	-7.741	-38.07	-8.902	-54.56
CI-low	-116.3	-70.04	-248	-202.6	-124.4	-63.80	-106.6	-60.03	-478.5
CI-high	-67.05	-48.88	-221	-174.5	-64.78	-38.02	-96.16	-38.37	-445.3
p-val	0	0	0	0	4.38e-09	0	0	0	0
Standard errors in parentheses									
