	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	s_T	s_T	s_T	s_T	s_T	s_T	s_T	s_T	s_T
									
i_diff	-91.156	-57.723	-232.681	-193.176	-90.466	-71.137	-96.615	-44.967	-451.086
	(2.069)	(1.045)	(2.865)	(2.327)	(3.397)	(2.444)	(1.295)	(0.859)	(3.981)
pi_r_yoy	7.064	4.149	5.752	7.188	7.084	4.830	-1.342	3.064	9.454
	(0.168)	(0.151)	(0.294)	(0.241)	(0.167)	(0.183)	(0.075)	(0.066)	(0.621)
Constant	-0.028	-0.012	0.073	0.035	0.017	0.005	0.103	-0.023	0.035
	(0.001)	(0.003)	(0.003)	(0.003)	(0.001)	(0.003)	(0.002)	(0.001)	(0.008)
									
Observations	158	158	158	158	158	158	158	158	158
t-test	-44.06	-55.23	-81.21	-83.01	-26.63	-29.11	-74.62	-52.38	-113.3
CI-low	-95.21	-59.77	-238.3	-197.7	-97.12	-75.93	-99.15	-46.65	-458.9
CI-high	-87.10	-55.67	-227.1	-188.6	-83.81	-66.35	-94.08	-43.28	-443.3
p-val	0	0	0	0	0	0	0	0	0
Standard errors in parentheses									
