	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	s_T	s_T	s_T	s_T	s_T	s_T	s_T	s_T	s_T
									
i_diff	-91.156	-57.723	-232.681	-193.176	-90.466	-71.137	-96.615	-44.967	-451.086
	(2.069)	(1.045)	(2.865)	(2.327)	(3.397)	(2.444)	(1.295)	(0.859)	(3.981)
pi_r_yoy	7.064	4.149	5.752	7.188	7.084	4.830	-1.342	3.064	9.454
	(0.168)	(0.151)	(0.294)	(0.241)	(0.167)	(0.183)	(0.075)	(0.066)	(0.621)
Constant	-0.028	-0.012	0.073	0.035	0.017	0.005	0.103	-0.023	0.035
	(0.001)	(0.003)	(0.003)	(0.003)	(0.001)	(0.003)	(0.002)	(0.001)	(0.008)
									
Observations	158	158	158	158	158	158	158	158	158
t-test	42.03	27.55	19.53	29.88	42.45	26.45	-17.78	46.18	15.22
CI-low	6.734	3.854	5.175	6.717	6.757	4.472	-1.490	2.934	8.237
CI-high	7.393	4.444	6.329	7.660	7.411	5.188	-1.194	3.194	10.67
p-val	0	0	0	0	0	0	0	0	0
Standard errors in parentheses									
