	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	s_diff	s_diff	s_diff	s_diff	s_diff	s_diff	s_diff	s_diff	s_diff
									
i_diff	107.252	-755.897	-787.930	434.652	145.208	-4,754.669	-752.050	46.182	32.982
	(4.228)	(39.974)	(49.596)	(5.061)	(7.303)	(415.536)	(14.422)	(2.203)	(17.117)
Constant	0.068	1.064	0.204	0.200	0.274	-8.545	1.817	0.083	0.047
	(0.007)	(0.110)	(0.124)	(0.011)	(0.017)	(0.964)	(0.032)	(0.004)	(0.025)
									
Observations	235	235	235	235	235	235	235	235	235
t-test	25.37	-18.91	-15.89	85.89	19.88	-11.44	-52.15	20.96	1.927
CI-low	98.97	-834.2	-885.1	424.7	130.9	-5569	-780.3	41.86	-0.568
CI-high	115.5	-677.5	-690.7	444.6	159.5	-3940	-723.8	50.50	66.53
p-val	0	0	0	0	0	0	0	0	0.0552
Standard errors in parentheses									
