	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	s_diff	s_diff	s_diff	s_diff	s_diff	s_diff	s_diff	s_diff	s_diff
									
i_diff	97.136	-482.092	-1,098.719	429.703	99.021	-2,573.189	-778.132	45.312	-6.860
	(0.446)	(3.294)	(11.950)	(5.925)	(2.658)	(83.546)	(3.065)	(2.216)	(0.702)
pi_r_yoy	5.222	-61.582	63.852	5.299	7.957	-640.018	12.059	0.557	8.772
	(0.078)	(0.578)	(1.659)	(0.873)	(0.325)	(12.455)	(0.463)	(0.211)	(0.073)
Constant	0.033	1.438	-0.362	0.142	0.183	-8.321	1.589	0.080	-0.027
	(0.001)	(0.007)	(0.022)	(0.011)	(0.005)	(0.058)	(0.013)	(0.005)	(0.001)
									
Observations	235	235	235	235	235	235	235	235	235
t-test	217.8	-146.3	-91.94	72.52	37.25	-30.80	-253.9	20.45	-9.777
CI-low	96.26	-488.5	-1122	418.1	93.81	-2737	-784.1	40.97	-8.235
CI-high	98.01	-475.6	-1075	441.3	104.2	-2409	-772.1	49.65	-5.485
p-val	0	0	0	0	0	0	0	0	0
Standard errors in parentheses									
