	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock
									
pi_r_yoy_shock	7.090	-66.469	29.306	12.946	12.749	-605.329	1.212	1.167	8.771
	(0.628)	(3.516)	(4.312)	(4.942)	(0.721)	(37.098)	(3.326)	(0.350)	(0.364)
Constant	0.001	-0.000	0.002	0.004	0.001	-0.045	-0.005	0.001	-0.000
	(0.002)	(0.012)	(0.021)	(0.012)	(0.003)	(0.111)	(0.016)	(0.002)	(0.001)
									
Observations	234	234	234	234	234	234	234	234	234
t-test	11.29	-18.90	6.796	2.619	17.67	-16.32	0.364	3.339	24.07
CI-low	5.859	-73.36	20.85	3.259	11.34	-678	-5.307	0.482	8.057
CI-high	8.321	-59.58	37.76	22.63	14.16	-532.6	7.730	1.852	9.485
p-val	0	0	8.97e-11	0.00939	0	0	0.716	0.000981	0
Standard errors in parentheses									
