	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock
									
i_diff_shock	90.234	-472.802	-1,146.041	258.949	120.139	-2,901.302	-923.200	17.435	-3.779
	(1.437)	(22.993)	(34.182)	(15.315)	(4.810)	(213.776)	(16.668)	(3.151)	(0.842)
pi_r_yoy_shock	5.738	-64.289	35.387	5.543	11.940	-614.875	7.490	1.109	8.816
	(0.185)	(1.575)	(2.259)	(1.356)	(0.340)	(16.446)	(0.829)	(0.316)	(0.339)
Constant	-0.000	-0.000	-0.004	0.002	-0.000	0.006	0.001	0.001	0.000
	(0.000)	(0.003)	(0.008)	(0.005)	(0.001)	(0.039)	(0.004)	(0.002)	(0.001)
									
Observations	234	234	234	234	234	234	234	234	234
t-test	30.93	-40.81	15.67	4.088	35.14	-37.39	9.035	3.514	26.01
CI-low	5.374	-67.38	30.96	2.886	11.27	-647.1	5.865	0.491	8.151
CI-high	6.101	-61.20	39.81	8.200	12.61	-582.6	9.115	1.728	9.480
p-val	0	0	0	6.00e-05	0	0	0	0.000531	0
Standard errors in parentheses									
