	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	s_T	s_T	s_T	s_T	s_T	s_T	s_T	s_T	s_T
									
i_diff	37.360	-413.137	-422.671	195.283	-17.565	5,309.749	-521.188	2.679	-31.144
	(2.362)	(23.398)	(26.738)	(4.350)	(1.455)	(477.893)	(9.713)	(0.228)	(1.368)
Constant	0.024	0.581	0.109	0.090	-0.033	9.542	1.259	0.005	-0.045
	(0.004)	(0.064)	(0.067)	(0.011)	(0.003)	(1.108)	(0.021)	(0.001)	(0.003)
									
Observations	235	235	235	235	235	235	235	235	235
t-test	15.82	-17.66	-15.81	44.89	-12.07	11.11	-53.66	11.76	-22.77
CI-low	32.73	-459	-475.1	186.8	-20.42	4373	-540.2	2.233	-33.82
CI-high	41.99	-367.3	-370.3	203.8	-14.71	6246	-502.1	3.125	-28.46
p-val	0	0	0	0	0	0	0	0	0
Standard errors in parentheses									
