	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	s_T	s_T	s_T	s_T	s_T	s_T	s_T	s_T	s_T
									
pi_r_yoy	4.389	-71.528	-33.306	27.334	-1.061	1,256.263	-24.124	0.160	-1.933
	(0.474)	(3.056)	(7.138)	(5.931)	(0.218)	(48.132)	(13.667)	(0.051)	(0.277)
Constant	-0.023	0.884	0.341	-0.286	0.001	7.263	0.580	-0.000	0.004
	(0.005)	(0.057)	(0.128)	(0.081)	(0.004)	(0.483)	(0.409)	(0.001)	(0.010)
									
Observations	235	235	235	235	235	235	235	235	235
t-test	9.267	-23.41	-4.666	4.609	-4.877	26.10	-1.765	3.161	-6.969
CI-low	3.461	-77.52	-47.30	15.71	-1.487	1162	-50.91	0.0609	-2.476
CI-high	5.317	-65.54	-19.32	38.96	-0.634	1351	2.663	0.260	-1.389
p-val	0	0	5.18e-06	6.68e-06	2.00e-06	0	0.0788	0.00178	0
Standard errors in parentheses									
