	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	s_diff	s_diff	s_diff	s_diff	s_diff	s_diff	s_diff	s_diff	s_diff
									
i_diff	43.829	314.228	215.481	118.076	115.207	75.934	606.146	30.486	14.277
	(1.957)	(5.110)	(2.757)	(1.779)	(2.006)	(3.641)	(8.543)	(1.264)	(6.831)
Constant	0.020	-0.388	-0.072	0.012	0.131	0.068	-1.097	0.041	0.011
	(0.002)	(0.012)	(0.005)	(0.003)	(0.003)	(0.007)	(0.022)	(0.002)	(0.007)
									
Observations	398	398	398	398	398	398	398	398	398
t-test	22.40	61.50	78.16	66.38	57.43	20.85	70.95	24.12	2.090
CI-low	39.99	304.2	210.1	114.6	111.3	68.80	589.4	28.01	0.888
CI-high	47.66	324.2	220.9	121.6	119.1	83.07	622.9	32.96	27.67
p-val	0	0	0	0	0	0	0	0	0.0373
Standard errors in parentheses									
