	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	s_diff	s_diff	s_diff	s_diff	s_diff	s_diff	s_diff	s_diff	s_diff
									
pi_r_yoy	3.820	35.992	16.335	9.317	8.966	15.338	23.341	1.145	5.228
	(0.456)	(4.147)	(3.123)	(2.182)	(1.686)	(0.616)	(7.312)	(0.434)	(0.052)
Constant	-0.014	-0.502	-0.127	-0.081	0.010	0.021	-0.473	-0.000	-0.019
	(0.004)	(0.063)	(0.043)	(0.027)	(0.016)	(0.006)	(0.183)	(0.007)	(0.002)
									
Observations	398	398	398	398	398	398	398	398	398
t-test	8.372	8.680	5.230	4.269	5.317	24.89	3.192	2.639	100.8
CI-low	2.926	27.86	10.21	5.040	5.661	14.13	9.008	0.294	5.127
CI-high	4.714	44.12	22.46	13.59	12.27	16.55	37.67	1.995	5.330
p-val	0	0	2.75e-07	2.46e-05	1.76e-07	0	0.00153	0.00865	0
Standard errors in parentheses									
