	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	s_diff	s_diff	s_diff	s_diff	s_diff	s_diff	s_diff	s_diff	s_diff
									
i_diff	39.761	279.860	231.385	115.402	107.346	42.392	642.230	30.118	-7.403
	(0.369)	(1.402)	(2.109)	(1.112)	(0.983)	(0.876)	(1.764)	(1.155)	(0.380)
pi_r_yoy	2.868	9.279	-3.910	4.302	2.559	8.928	-11.509	0.362	5.789
	(0.054)	(0.243)	(0.288)	(0.111)	(0.115)	(0.115)	(0.290)	(0.068)	(0.036)
Constant	0.007	-0.474	-0.047	-0.026	0.125	0.050	-0.930	0.040	-0.026
	(0.001)	(0.003)	(0.003)	(0.001)	(0.001)	(0.001)	(0.007)	(0.002)	(0.000)
									
Observations	398	398	398	398	398	398	398	398	398
t-test	53.12	38.21	-13.55	38.85	22.16	77.62	-39.74	5.331	159.1
CI-low	2.762	8.803	-4.475	4.085	2.333	8.703	-12.08	0.229	5.717
CI-high	2.974	9.755	-3.344	4.520	2.786	9.154	-10.94	0.496	5.860
p-val	0	0	0	0	0	0	0	1.65e-07	0
Standard errors in parentheses									
