	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock
									
i_diff_shock	42.532	258.478	270.297	75.877	110.595	52.451	628.191	11.373	-1.648
	(1.721)	(9.023)	(5.088)	(4.000)	(7.505)	(4.759)	(19.522)	(2.175)	(1.244)
Constant	0.000	-0.000	0.001	0.000	0.000	0.001	0.001	0.000	0.000
	(0.001)	(0.002)	(0.001)	(0.001)	(0.001)	(0.002)	(0.003)	(0.001)	(0.002)
									
Observations	397	397	397	397	397	397	397	397	397
t-test	24.72	28.65	53.13	18.97	14.74	11.02	32.18	5.229	-1.325
CI-low	39.16	240.8	260.3	68.04	95.88	43.12	589.9	7.110	-4.085
CI-high	45.90	276.2	280.3	83.72	125.3	61.78	666.5	15.64	0.790
p-val	0	0	0	0	0	0	0	2.77e-07	0.186
Standard errors in parentheses									
