	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock
									
i_diff_shock	42.532	258.478	270.297	75.877	110.595	52.451	628.191	11.373	-1.648
	(1.640)	(8.196)	(5.136)	(2.986)	(8.359)	(5.307)	(19.020)	(1.372)	(1.283)
Constant	0.000	-0.000	0.001	0.000	0.000	0.001	0.001	0.000	0.000
	(0.001)	(0.002)	(0.001)	(0.001)	(0.001)	(0.002)	(0.002)	(0.001)	(0.002)
									
Observations	397	397	397	397	397	397	397	397	397
t-test	25.93	31.54	52.62	25.41	13.23	9.883	33.03	8.290	-1.284
CI-low	39.32	242.4	260.2	70.02	94.21	42.05	590.9	8.684	-4.162
CI-high	45.75	274.5	280.4	81.73	127	62.85	665.5	14.06	0.867
p-val	0	0	0	0	0	0	0	0	0.200
Standard errors in parentheses									
