	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock
									
i_diff_shock	39.248	254.821	269.883	73.386	112.710	50.474	634.341	11.368	-2.967
	(0.969)	(6.926)	(5.140)	(3.628)	(4.091)	(3.077)	(19.334)	(2.189)	(0.876)
pi_r_yoy_shock	3.358	14.064	0.359	5.228	4.985	10.618	-4.843	0.880	5.948
	(0.097)	(0.453)	(0.380)	(0.231)	(0.174)	(0.217)	(0.889)	(0.142)	(0.175)
Constant	-0.000	0.000	0.001	0.000	-0.000	-0.000	0.000	0.000	0.000
	(0.000)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.002)	(0.001)	(0.000)
									
Observations	397	397	397	397	397	397	397	397	397
t-test	40.50	36.79	52.51	20.23	27.55	16.41	32.81	5.192	-3.386
CI-low	37.35	241.2	259.8	66.28	104.7	44.44	596.4	7.076	-4.684
CI-high	41.15	268.4	280	80.50	120.7	56.50	672.2	15.66	-1.249
p-val	0	0	0	0	0	0	0	3.34e-07	0.000780
Standard errors in parentheses									
