	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	s_IP	s_IP	s_IP	s_IP	s_IP	s_IP	s_IP	s_IP	s_IP
									
i_diff	-45.251	-155.832	-135.528	-78.359	-102.287	-155.999	-289.156	-36.736	-41.168
	(0.456)	(2.380)	(2.658)	(0.867)	(0.616)	(2.152)	(3.200)	(1.032)	(4.881)
Constant	-0.020	0.192	0.045	-0.008	-0.117	-0.139	0.523	-0.049	-0.031
	(0.001)	(0.006)	(0.005)	(0.001)	(0.001)	(0.004)	(0.008)	(0.001)	(0.005)
									
Observations	398	398	398	398	398	398	398	398	398
t-test	-99.29	-65.48	-50.99	-90.40	-166.1	-72.48	-90.36	-35.58	-8.435
CI-low	-46.14	-160.5	-140.7	-80.06	-103.5	-160.2	-295.4	-38.76	-50.73
CI-high	-44.36	-151.2	-130.3	-76.66	-101.1	-151.8	-282.9	-34.71	-31.60
p-val	0	0	0	0	0	0	0	0	0
Standard errors in parentheses									
