	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	s_IP	s_IP	s_IP	s_IP	s_IP	s_IP	s_IP	s_IP	s_IP
									
i_diff	-45.251	-155.832	-135.528	-78.359	-102.287	-155.999	-289.156	-36.736	-41.168
	(0.552)	(3.684)	(3.876)	(0.697)	(0.844)	(2.970)	(5.081)	(0.874)	(6.052)
Constant	-0.020	0.192	0.045	-0.008	-0.117	-0.139	0.523	-0.049	-0.031
	(0.001)	(0.009)	(0.007)	(0.002)	(0.001)	(0.005)	(0.013)	(0.002)	(0.007)
									
Observations	398	398	398	398	398	398	398	398	398
t-test	-81.94	-42.30	-34.97	-112.4	-121.2	-52.52	-56.91	-42.05	-6.803
CI-low	-46.33	-163.1	-143.1	-79.73	-103.9	-161.8	-299.1	-38.45	-53.03
CI-high	-44.17	-148.6	-127.9	-76.99	-100.6	-150.2	-279.2	-35.02	-29.31
p-val	0	0	0	0	0	0	0	0	0
Standard errors in parentheses									
