	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	s_IP	s_IP	s_IP	s_IP	s_IP	s_IP	s_IP	s_IP	s_IP
									
i_diff	-44.337	-139.992	-153.740	-79.256	-103.641	-136.529	-302.417	-36.957	-27.347
	(0.129)	(0.667)	(1.135)	(0.849)	(0.554)	(1.214)	(0.800)	(1.138)	(0.962)
pi_r_yoy	-0.645	-4.276	4.477	1.443	0.441	-5.183	4.230	0.218	-3.690
	(0.015)	(0.115)	(0.153)	(0.088)	(0.065)	(0.149)	(0.125)	(0.062)	(0.077)
Constant	-0.017	0.232	0.017	-0.020	-0.118	-0.128	0.462	-0.050	-0.008
	(0.000)	(0.002)	(0.002)	(0.001)	(0.001)	(0.001)	(0.003)	(0.002)	(0.001)
									
Observations	398	398	398	398	398	398	398	398	398
t-test	-343	-209.9	-135.5	-93.37	-187	-112.5	-378.2	-32.48	-28.43
CI-low	-44.59	-141.3	-156	-80.92	-104.7	-138.9	-304	-39.19	-29.23
CI-high	-44.08	-138.7	-151.5	-77.59	-102.6	-134.1	-300.8	-34.73	-25.46
p-val	0	0	0	0	0	0	0	0	0
Standard errors in parentheses									
