	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	s_IP	s_IP	s_IP	s_IP	s_IP	s_IP	s_IP	s_IP	s_IP
									
i_diff	-44.337	-139.992	-153.740	-79.256	-103.641	-136.529	-302.417	-36.957	-27.347
	(0.129)	(0.667)	(1.135)	(0.849)	(0.554)	(1.214)	(0.800)	(1.138)	(0.962)
pi_r_yoy	-0.645	-4.276	4.477	1.443	0.441	-5.183	4.230	0.218	-3.690
	(0.015)	(0.115)	(0.153)	(0.088)	(0.065)	(0.149)	(0.125)	(0.062)	(0.077)
Constant	-0.017	0.232	0.017	-0.020	-0.118	-0.128	0.462	-0.050	-0.008
	(0.000)	(0.002)	(0.002)	(0.001)	(0.001)	(0.001)	(0.003)	(0.002)	(0.001)
									
Observations	398	398	398	398	398	398	398	398	398
t-test	-42.17	-37.16	29.21	16.43	6.734	-34.88	33.92	3.515	-48.16
CI-low	-0.675	-4.502	4.177	1.271	0.312	-5.474	3.985	0.0964	-3.841
CI-high	-0.615	-4.051	4.777	1.616	0.569	-4.891	4.474	0.339	-3.540
p-val	0	0	0	0	5.84e-11	0	0	0.000492	0
Standard errors in parentheses									
