	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	s_diff	s_diff	s_diff	s_diff	s_diff	s_diff	s_diff	s_diff	s_diff
									
i_diff	20.874	34.166	64.898	7.949	34.953	8.485	71.710	62.841	14.277
	(1.627)	(4.241)	(2.447)	(0.242)	(0.616)	(1.133)	(1.151)	(3.423)	(6.831)
Constant	0.010	-0.064	-0.054	0.004	0.038	0.015	-0.150	0.095	0.011
	(0.002)	(0.009)	(0.004)	(0.001)	(0.001)	(0.002)	(0.003)	(0.004)	(0.007)
									
Observations	477	477	477	477	477	477	477	410	398
t-test	12.83	8.057	26.52	32.79	56.73	7.489	62.32	18.36	2.090
CI-low	17.68	25.85	60.10	7.474	33.75	6.265	69.46	56.13	0.888
CI-high	24.06	42.48	69.69	8.425	36.16	10.71	73.97	69.55	27.67
p-val	0	0	0	0	0	0	0	0	0.0373
Standard errors in parentheses									
