	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	s_diff	s_diff	s_diff	s_diff	s_diff	s_diff	s_diff	s_diff	s_diff
									
i_diff	20.874	34.166	64.898	7.949	34.953	8.485	71.710	62.841	14.277
	(2.202)	(6.333)	(3.363)	(0.270)	(0.692)	(1.732)	(1.810)	(4.449)	(8.928)
Constant	0.010	-0.064	-0.054	0.004	0.038	0.015	-0.150	0.095	0.011
	(0.003)	(0.014)	(0.006)	(0.001)	(0.001)	(0.002)	(0.005)	(0.006)	(0.011)
									
Observations	477	477	477	477	477	477	477	410	398
t-test	9.479	5.395	19.30	29.43	50.54	4.898	39.61	14.13	1.599
CI-low	16.56	21.75	58.31	7.420	33.60	5.090	68.16	54.12	-3.223
CI-high	25.19	46.58	71.49	8.479	36.31	11.88	75.26	71.56	31.78
p-val	0	1.08e-07	0	0	0	1.33e-06	0	0	0.111
Standard errors in parentheses									
