	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	s_diff	s_diff	s_diff	s_diff	s_diff	s_diff	s_diff	s_diff	s_diff
									
pi_r_yoy	2.162	7.946	8.915	0.461	1.791	1.288	7.072	4.904	5.228
	(0.108)	(0.373)	(0.546)	(0.104)	(0.496)	(0.020)	(0.832)	(0.690)	(0.052)
Constant	-0.001	-0.112	-0.086	-0.001	0.007	0.016	-0.149	0.007	-0.019
	(0.002)	(0.006)	(0.009)	(0.002)	(0.005)	(0.001)	(0.018)	(0.013)	(0.002)
									
Observations	477	477	477	477	477	477	477	410	398
t-test	19.96	21.30	16.34	4.426	3.608	63.91	8.499	7.104	100.8
CI-low	1.950	7.215	7.846	0.257	0.818	1.248	5.441	3.551	5.127
CI-high	2.375	8.677	9.985	0.666	2.764	1.327	8.703	6.257	5.330
p-val	0	0	0	1.19e-05	0.000341	0	0	0	0
Standard errors in parentheses									
