	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	s_diff	s_diff	s_diff	s_diff	s_diff	s_diff	s_diff	s_diff	s_diff
									
i_diff	15.933	18.522	46.964	8.142	34.459	-0.048	63.947	57.313	-7.403
	(0.311)	(0.444)	(0.455)	(0.281)	(0.771)	(0.602)	(0.423)	(1.744)	(0.380)
pi_r_yoy	1.806	6.340	4.550	-0.061	0.228	1.291	2.188	2.115	5.789
	(0.030)	(0.077)	(0.100)	(0.036)	(0.088)	(0.051)	(0.048)	(0.108)	(0.036)
Constant	0.007	-0.124	-0.083	0.004	0.039	0.016	-0.180	0.089	-0.026
	(0.000)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.002)	(0.000)
									
Observations	477	477	477	477	477	477	477	410	398
t-test	51.25	41.71	103.2	28.98	44.67	-0.0791	151.3	32.87	-19.47
CI-low	15.32	17.65	46.07	7.592	32.95	-1.227	63.12	53.90	-8.148
CI-high	16.54	19.39	47.86	8.693	35.97	1.132	64.78	60.73	-6.657
p-val	0	0	0	0	0	0.937	0	0	0
Standard errors in parentheses									
