	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	s_diff	s_diff	s_diff	s_diff	s_diff	s_diff	s_diff	s_diff	s_diff
									
i_diff	15.933	18.522	46.964	8.142	34.459	-0.048	63.947	57.313	-7.403
	(0.311)	(0.444)	(0.455)	(0.281)	(0.771)	(0.602)	(0.423)	(1.744)	(0.380)
pi_r_yoy	1.806	6.340	4.550	-0.061	0.228	1.291	2.188	2.115	5.789
	(0.030)	(0.077)	(0.100)	(0.036)	(0.088)	(0.051)	(0.048)	(0.108)	(0.036)
Constant	0.007	-0.124	-0.083	0.004	0.039	0.016	-0.180	0.089	-0.026
	(0.000)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.002)	(0.000)
									
Observations	477	477	477	477	477	477	477	410	398
t-test	59.31	82.68	45.32	-1.700	2.576	25.56	45.36	19.60	159.1
CI-low	1.747	6.189	4.353	-0.131	0.0545	1.192	2.094	1.904	5.717
CI-high	1.866	6.490	4.746	0.00935	0.401	1.391	2.283	2.327	5.860
p-val	0	0	0	0.0898	0.0103	0	0	0	0
Standard errors in parentheses									
