	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock
									
i_diff_shock	20.985	39.876	61.960	7.019	50.128	4.267	80.130	24.833	-1.648
	(1.086)	(3.873)	(3.705)	(0.327)	(1.023)	(0.428)	(1.536)	(3.958)	(1.244)
Constant	0.000	-0.000	-0.000	-0.000	-0.000	0.000	-0.000	0.001	0.000
	(0.000)	(0.001)	(0.001)	(0.000)	(0.000)	(0.000)	(0.001)	(0.001)	(0.002)
									
Observations	476	476	476	476	476	476	476	409	397
t-test	19.32	10.30	16.72	21.48	48.98	9.972	52.17	6.273	-1.325
CI-low	18.86	32.29	54.70	6.379	48.12	3.428	77.12	17.07	-4.085
CI-high	23.11	47.47	69.22	7.660	52.13	5.105	83.14	32.59	0.790
p-val	0	0	0	0	0	0	0	9.04e-10	0.186
Standard errors in parentheses									
