	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock
									
i_diff_shock	20.985	39.876	61.960	7.019	50.128	4.267	80.130	24.833	-1.648
	(1.166)	(3.897)	(2.912)	(0.274)	(0.998)	(0.359)	(1.108)	(2.489)	(1.283)
Constant	0.000	-0.000	-0.000	-0.000	-0.000	0.000	-0.000	0.001	0.000
	(0.000)	(0.001)	(0.001)	(0.000)	(0.000)	(0.000)	(0.000)	(0.001)	(0.002)
									
Observations	476	476	476	476	476	476	476	409	397
t-test	17.99	10.23	21.28	25.60	50.24	11.87	72.32	9.978	-1.284
CI-low	18.70	32.24	56.25	6.482	48.17	3.562	77.96	19.95	-4.162
CI-high	23.27	47.51	67.67	7.556	52.08	4.971	82.30	29.71	0.867
p-val	0	0	0	0	0	0	0	0	0.200
Standard errors in parentheses									
