	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock
									
pi_r_yoy_shock	2.136	7.540	6.275	0.084	0.768	1.623	2.918	3.232	5.920
	(0.130)	(0.406)	(0.373)	(0.318)	(0.403)	(0.110)	(0.445)	(0.225)	(0.192)
Constant	-0.000	-0.000	-0.001	-0.000	-0.001	-0.000	-0.001	0.001	-0.000
	(0.000)	(0.001)	(0.001)	(0.001)	(0.001)	(0.000)	(0.001)	(0.002)	(0.000)
									
Observations	476	476	476	476	476	476	476	409	397
t-test	16.39	18.55	16.84	0.266	1.906	14.74	6.559	14.37	30.88
CI-low	1.880	6.743	5.545	-0.539	-0.0216	1.407	2.046	2.791	5.544
CI-high	2.391	8.336	7.005	0.708	1.557	1.839	3.790	3.673	6.296
p-val	0	0	0	0.791	0.0572	0	1.42e-10	0	0
Standard errors in parentheses									
