	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock
									
i_diff_shock	19.725	31.750	59.253	7.045	50.154	4.492	77.778	24.713	-2.967
	(0.782)	(1.596)	(2.082)	(0.318)	(0.962)	(0.228)	(0.985)	(3.959)	(0.876)
pi_r_yoy_shock	1.925	6.813	5.872	-0.169	0.794	1.679	1.984	3.194	5.948
	(0.080)	(0.200)	(0.207)	(0.111)	(0.170)	(0.114)	(0.062)	(0.181)	(0.175)
Constant	0.000	0.000	0.000	-0.000	-0.000	-0.000	0.000	0.000	0.000
	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.001)	(0.000)
									
Observations	476	476	476	476	476	476	476	409	397
t-test	25.24	19.89	28.45	22.19	52.12	19.68	78.93	6.241	-3.386
CI-low	18.19	28.62	55.17	6.423	48.27	4.045	75.85	16.95	-4.684
CI-high	21.26	34.88	63.33	7.667	52.04	4.939	79.71	32.47	-1.249
p-val	0	0	0	0	0	0	0	1.09e-09	0.000780
Standard errors in parentheses									
