	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock
									
i_diff_shock	19.725	31.750	59.253	7.045	50.154	4.492	77.778	24.713	-2.967
	(0.782)	(1.596)	(2.082)	(0.318)	(0.962)	(0.228)	(0.985)	(3.959)	(0.876)
pi_r_yoy_shock	1.925	6.813	5.872	-0.169	0.794	1.679	1.984	3.194	5.948
	(0.080)	(0.200)	(0.207)	(0.111)	(0.170)	(0.114)	(0.062)	(0.181)	(0.175)
Constant	0.000	0.000	0.000	-0.000	-0.000	-0.000	0.000	0.000	0.000
	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.001)	(0.000)
									
Observations	476	476	476	476	476	476	476	409	397
t-test	24.14	34.13	28.35	-1.524	4.683	14.73	31.88	17.67	33.96
CI-low	1.769	6.421	5.466	-0.387	0.462	1.456	1.862	2.839	5.605
CI-high	2.082	7.204	6.278	0.0484	1.127	1.903	2.106	3.548	6.291
p-val	0	0	0	0.128	3.70e-06	0	0	0	0
Standard errors in parentheses									
