	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	s_IP	s_IP	s_IP	s_IP	s_IP	s_IP	s_IP	s_IP	s_IP
									
i_diff	-14.949	-19.762	-38.779	-24.221	-15.646	-71.952	-27.279	-53.593	-41.168
	(0.310)	(1.411)	(0.482)	(2.502)	(0.190)	(6.015)	(0.646)	(1.771)	(4.881)
Constant	-0.008	0.037	0.032	-0.013	-0.017	-0.122	0.057	-0.081	-0.031
	(0.000)	(0.003)	(0.001)	(0.005)	(0.000)	(0.010)	(0.002)	(0.002)	(0.005)
									
Observations	477	477	477	477	477	477	477	410	398
t-test	-48.19	-14.01	-80.40	-9.682	-82.31	-11.96	-42.24	-30.26	-8.435
CI-low	-15.56	-22.53	-39.72	-29.12	-16.02	-83.74	-28.54	-57.06	-50.73
CI-high	-14.34	-17	-37.83	-19.32	-15.27	-60.16	-26.01	-50.12	-31.60
p-val	0	0	0	0	0	0	0	0	0
Standard errors in parentheses									
