	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	s_IP	s_IP	s_IP	s_IP	s_IP	s_IP	s_IP	s_IP	s_IP
									
i_diff	-14.949	-19.762	-38.779	-24.221	-15.646	-71.952	-27.279	-53.593	-41.168
	(0.421)	(2.113)	(0.653)	(3.889)	(0.248)	(8.933)	(1.014)	(1.988)	(6.052)
Constant	-0.008	0.037	0.032	-0.013	-0.017	-0.122	0.057	-0.081	-0.031
	(0.001)	(0.005)	(0.001)	(0.008)	(0.000)	(0.014)	(0.003)	(0.003)	(0.007)
									
Observations	477	477	477	477	477	477	477	410	398
t-test	-35.54	-9.353	-59.34	-6.229	-63.05	-8.055	-26.91	-26.96	-6.803
CI-low	-15.77	-23.90	-40.06	-31.84	-16.13	-89.46	-29.27	-57.49	-53.03
CI-high	-14.12	-15.62	-37.50	-16.60	-15.16	-54.44	-25.29	-49.70	-29.31
p-val	0	0	0	1.04e-09	0	0	0	0	0
Standard errors in parentheses									
