	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	s_IP	s_IP	s_IP	s_IP	s_IP	s_IP	s_IP	s_IP	s_IP
									
pi_r_yoy	-0.669	-3.346	-4.202	-4.568	-0.552	-9.406	-2.992	-3.191	-5.761
	(0.092)	(0.299)	(0.400)	(0.162)	(0.228)	(0.158)	(0.296)	(0.624)	(0.166)
Constant	0.000	0.047	0.040	0.010	-0.002	-0.115	0.063	-0.005	0.020
	(0.001)	(0.005)	(0.007)	(0.003)	(0.002)	(0.004)	(0.006)	(0.012)	(0.006)
									
Observations	477	477	477	477	477	477	477	410	398
t-test	-7.261	-11.18	-10.49	-28.19	-2.420	-59.39	-10.12	-5.117	-34.67
CI-low	-0.849	-3.933	-4.987	-4.885	-1	-9.716	-3.571	-4.413	-6.086
CI-high	-0.488	-2.760	-3.417	-4.250	-0.105	-9.095	-2.413	-1.969	-5.435
p-val	0	0	0	0	0.0159	0	0	4.79e-07	0
Standard errors in parentheses									
