	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	s_IP	s_IP	s_IP	s_IP	s_IP	s_IP	s_IP	s_IP	s_IP
									
i_diff	-13.973	-14.636	-35.065	-12.280	-16.025	-21.000	-22.857	-51.848	-27.347
	(0.054)	(0.160)	(0.183)	(0.423)	(0.144)	(0.644)	(0.218)	(1.438)	(0.962)
pi_r_yoy	-0.357	-2.077	-0.942	-3.780	0.175	-7.712	-1.246	-0.668	-3.690
	(0.005)	(0.029)	(0.033)	(0.058)	(0.017)	(0.057)	(0.024)	(0.089)	(0.077)
Constant	-0.007	0.056	0.038	0.002	-0.017	-0.130	0.074	-0.079	-0.008
	(0.000)	(0.000)	(0.000)	(0.001)	(0.000)	(0.001)	(0.001)	(0.002)	(0.001)
									
Observations	477	477	477	477	477	477	477	410	398
t-test	-258.9	-91.23	-191.4	-29.01	-111.3	-32.60	-104.7	-36.05	-28.43
CI-low	-14.08	-14.95	-35.42	-13.11	-16.31	-22.26	-23.29	-54.67	-29.23
CI-high	-13.87	-14.32	-34.71	-11.45	-15.74	-19.74	-22.43	-49.03	-25.46
p-val	0	0	0	0	0	0	0	0	0
Standard errors in parentheses									
