	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	s_IP	s_IP	s_IP	s_IP	s_IP	s_IP	s_IP	s_IP	s_IP
									
i_diff	-13.973	-14.636	-35.065	-12.280	-16.025	-21.000	-22.857	-51.848	-27.347
	(0.054)	(0.160)	(0.183)	(0.423)	(0.144)	(0.644)	(0.218)	(1.438)	(0.962)
pi_r_yoy	-0.357	-2.077	-0.942	-3.780	0.175	-7.712	-1.246	-0.668	-3.690
	(0.005)	(0.029)	(0.033)	(0.058)	(0.017)	(0.057)	(0.024)	(0.089)	(0.077)
Constant	-0.007	0.056	0.038	0.002	-0.017	-0.130	0.074	-0.079	-0.008
	(0.000)	(0.000)	(0.000)	(0.001)	(0.000)	(0.001)	(0.001)	(0.002)	(0.001)
									
Observations	477	477	477	477	477	477	477	410	398
t-test	-70.23	-71.19	-28.72	-64.99	10.23	-135	-51.91	-7.490	-48.16
CI-low	-0.367	-2.134	-1.007	-3.894	0.141	-7.824	-1.293	-0.843	-3.841
CI-high	-0.347	-2.020	-0.878	-3.666	0.208	-7.600	-1.199	-0.493	-3.540
p-val	0	0	0	0	0	0	0	0	0
Standard errors in parentheses									
