	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	s_T	s_T	s_T	s_T	s_T	s_T	s_T	s_T	s_T
									
i_diff	5.925	14.404	26.119	-16.272	19.307	-63.467	44.431	9.248	-26.892
	(1.322)	(2.832)	(1.983)	(2.582)	(0.529)	(4.960)	(0.521)	(1.759)	(2.065)
Constant	0.003	-0.028	-0.022	-0.009	0.021	-0.108	-0.093	0.014	-0.021
	(0.002)	(0.006)	(0.004)	(0.005)	(0.001)	(0.008)	(0.002)	(0.002)	(0.003)
									
Observations	477	477	477	477	477	477	477	410	398
t-test	4.482	5.086	13.17	-6.301	36.50	-12.80	85.30	5.258	-13.02
CI-low	3.334	8.853	22.23	-21.33	18.27	-73.19	43.41	5.800	-30.94
CI-high	8.516	19.96	30.01	-11.21	20.34	-53.75	45.45	12.70	-22.84
p-val	9.26e-06	5.28e-07	0	6.75e-10	0	0	0	2.36e-07	0
Standard errors in parentheses									
