	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	s_T	s_T	s_T	s_T	s_T	s_T	s_T	s_T	s_T
									
i_diff	5.925	14.404	26.119	-16.272	19.307	-63.467	44.431	9.248	-26.892
	(1.785)	(4.221)	(2.726)	(3.969)	(0.588)	(7.250)	(0.807)	(2.548)	(2.929)
Constant	0.003	-0.028	-0.022	-0.009	0.021	-0.108	-0.093	0.014	-0.021
	(0.002)	(0.009)	(0.005)	(0.008)	(0.001)	(0.012)	(0.002)	(0.003)	(0.004)
									
Observations	477	477	477	477	477	477	477	410	398
t-test	3.320	3.412	9.583	-4.100	32.83	-8.755	55.06	3.629	-9.181
CI-low	2.427	6.131	20.78	-24.05	18.15	-77.68	42.85	4.254	-32.63
CI-high	9.424	22.68	31.46	-8.493	20.46	-49.26	46.01	14.24	-21.15
p-val	0.000971	0.000699	0	4.86e-05	0	0	0	0.000320	0
Standard errors in parentheses									
