	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	s_T	s_T	s_T	s_T	s_T	s_T	s_T	s_T	s_T
									
pi_r_yoy	1.494	4.600	4.713	-4.106	1.239	-8.118	4.080	1.713	-0.533
	(0.028)	(0.086)	(0.151)	(0.085)	(0.271)	(0.156)	(0.537)	(0.067)	(0.213)
Constant	-0.001	-0.065	-0.046	0.009	0.005	-0.099	-0.086	0.002	0.002
	(0.000)	(0.001)	(0.002)	(0.002)	(0.002)	(0.004)	(0.012)	(0.001)	(0.007)
									
Observations	477	477	477	477	477	477	477	410	398
t-test	53.32	53.73	31.15	-48.44	4.580	-51.88	7.600	25.46	-2.500
CI-low	1.439	4.432	4.417	-4.273	0.709	-8.425	3.028	1.581	-0.950
CI-high	1.548	4.767	5.010	-3.940	1.769	-7.811	5.132	1.845	-0.115
p-val	0	0	0	0	5.96e-06	0	0	0	0.0128
Standard errors in parentheses									
