	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	s_T	s_T	s_T	s_T	s_T	s_T	s_T	s_T	s_T
									
i_diff	1.960	3.886	11.899	-4.138	18.435	-21.048	41.090	5.465	-34.750
	(0.286)	(0.309)	(0.329)	(0.614)	(0.655)	(1.229)	(0.254)	(0.309)	(1.105)
pi_r_yoy	1.450	4.263	3.607	-3.841	0.403	-6.420	0.942	1.447	2.098
	(0.027)	(0.053)	(0.072)	(0.085)	(0.075)	(0.106)	(0.031)	(0.020)	(0.086)
Constant	0.001	-0.067	-0.045	0.006	0.022	-0.114	-0.106	0.010	-0.034
	(0.000)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.000)	(0.001)
									
Observations	477	477	477	477	477	477	477	410	398
t-test	6.862	12.56	36.16	-6.735	28.15	-17.12	162	17.67	-31.45
CI-low	1.400	3.280	11.25	-5.342	17.15	-23.46	40.59	4.859	-36.92
CI-high	2.520	4.493	12.54	-2.933	19.72	-18.64	41.59	6.071	-32.58
p-val	0	0	0	0	0	0	0	0	0
Standard errors in parentheses									
