	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	s_T	s_T	s_T	s_T	s_T	s_T	s_T	s_T	s_T
									
i_diff	1.960	3.886	11.899	-4.138	18.435	-21.048	41.090	5.465	-34.750
	(0.286)	(0.309)	(0.329)	(0.614)	(0.655)	(1.229)	(0.254)	(0.309)	(1.105)
pi_r_yoy	1.450	4.263	3.607	-3.841	0.403	-6.420	0.942	1.447	2.098
	(0.027)	(0.053)	(0.072)	(0.085)	(0.075)	(0.106)	(0.031)	(0.020)	(0.086)
Constant	0.001	-0.067	-0.045	0.006	0.022	-0.114	-0.106	0.010	-0.034
	(0.000)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.000)	(0.001)
									
Observations	477	477	477	477	477	477	477	410	398
t-test	53.04	80.40	49.94	-45.14	5.374	-60.70	30.48	71.27	24.43
CI-low	1.396	4.159	3.466	-4.008	0.256	-6.628	0.881	1.408	1.930
CI-high	1.503	4.366	3.749	-3.674	0.549	-6.213	1.002	1.487	2.267
p-val	0	0	0	0	1.21e-07	0	0	0	0
Standard errors in parentheses									
