	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	s_diff	s_diff	s_diff	s_diff	s_diff	s_diff	s_diff	s_diff	s_diff
									
i_diff	-194.778	11.298	-199.500	-162.160	-205.768	-102.445	-53.617	-174.666	-202.122
	(45.525)	(7.119)	(29.112)	(22.934)	(25.972)	(12.188)	(83.196)	(27.719)	(22.998)
Constant	-0.041	-0.004	0.081	0.067	-0.018	0.043	0.049	-0.131	0.036
	(0.033)	(0.013)	(0.047)	(0.035)	(0.023)	(0.019)	(0.136)	(0.047)	(0.046)
									
Observations	158	158	158	158	158	158	158	158	158
t-test	-4.279	1.587	-6.853	-7.071	-7.923	-8.406	-0.644	-6.301	-8.789
CI-low	-284	-2.655	-256.6	-207.1	-256.7	-126.3	-216.7	-229	-247.2
CI-high	-105.5	25.25	-142.4	-117.2	-154.9	-78.56	109.4	-120.3	-157
p-val	3.27e-05	0.115	1.58e-10	0	0	0	0.520	2.88e-09	0
Standard errors in parentheses									
