	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	s_diff	s_diff	s_diff	s_diff	s_diff	s_diff	s_diff	s_diff	s_diff
									
i_diff	-194.451	12.028	-200.122	-161.812	-206.073	-101.360	-120.594	-169.137	-195.731
	(31.704)	(4.348)	(23.065)	(17.122)	(19.977)	(9.840)	(34.137)	(20.106)	(21.844)
pi_r_yoy	4.649	1.743	-1.998	-0.540	-0.526	-0.259	18.864	4.003	5.569
	(1.767)	(0.599)	(4.163)	(3.582)	(1.958)	(1.240)	(1.774)	(1.734)	(3.012)
Constant	-0.047	-0.032	0.089	0.070	-0.020	0.044	-0.162	-0.114	0.002
	(0.021)	(0.011)	(0.041)	(0.034)	(0.018)	(0.015)	(0.054)	(0.031)	(0.041)
									
Observations	158	158	158	158	158	158	158	158	158
t-test	2.631	2.907	-0.480	-0.151	-0.269	-0.209	10.63	2.308	1.849
CI-low	1.186	0.568	-10.16	-7.560	-4.364	-2.689	15.39	0.604	-0.333
CI-high	8.112	2.918	6.161	6.481	3.313	2.171	22.34	7.402	11.47
p-val	0.00936	0.00418	0.632	0.880	0.789	0.835	0	0.0223	0.0663
Standard errors in parentheses									
