	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock
									
i_diff_shock	22.565	32.346	-28.112	-16.636	-8.541	-9.906	29.019	-3.480	-11.320
	(14.255)	(8.210)	(25.178)	(16.871)	(10.693)	(13.731)	(16.969)	(15.039)	(24.261)
Constant	-0.002	0.000	-0.005	-0.003	-0.004	-0.002	-0.002	-0.003	-0.006
	(0.002)	(0.001)	(0.005)	(0.004)	(0.003)	(0.002)	(0.006)	(0.004)	(0.006)
									
Observations	157	157	157	157	157	157	157	157	157
t-test	1.583	3.940	-1.117	-0.986	-0.799	-0.721	1.710	-0.231	-0.467
CI-low	-5.376	16.25	-77.46	-49.70	-29.50	-36.82	-4.241	-32.96	-58.87
CI-high	50.50	48.44	21.24	16.43	12.42	17.01	62.28	26	36.23
p-val	0.115	0.000123	0.266	0.326	0.426	0.472	0.0893	0.817	0.641
Standard errors in parentheses									
