	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock
									
i_diff_shock	22.565	32.346	-28.112	-16.636	-8.541	-9.906	29.019	-3.480	-11.320
	(12.539)	(6.715)	(18.249)	(11.059)	(10.476)	(9.192)	(12.738)	(15.498)	(18.862)
Constant	-0.002	0.000	-0.005	-0.003	-0.004	-0.002	-0.002	-0.003	-0.006
	(0.002)	(0.001)	(0.005)	(0.003)	(0.003)	(0.002)	(0.006)	(0.003)	(0.005)
									
Observations	157	157	157	157	157	157	157	157	157
t-test	1.800	4.817	-1.540	-1.504	-0.815	-1.078	2.278	-0.225	-0.600
CI-low	-2.012	19.19	-63.88	-38.31	-29.07	-27.92	4.052	-33.86	-48.29
CI-high	47.14	45.51	7.656	5.040	11.99	8.111	53.98	26.90	25.65
p-val	0.0739	3.44e-06	0.125	0.135	0.416	0.283	0.0241	0.823	0.549
Standard errors in parentheses									
