	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock
									
i_diff_shock	22.443	32.336	-19.713	-12.793	-12.524	-8.842	26.947	-3.418	-10.596
	(14.368)	(8.245)	(25.182)	(17.891)	(13.133)	(13.130)	(17.591)	(15.392)	(25.197)
pi_r_yoy_shock	-1.390	0.235	-7.783	-3.925	-1.254	-0.441	2.684	0.044	-3.267
	(0.918)	(0.650)	(1.187)	(1.135)	(1.307)	(0.588)	(1.002)	(1.007)	(1.890)
Constant	-0.002	0.000	-0.005	-0.003	-0.004	-0.002	-0.002	-0.003	-0.006
	(0.003)	(0.001)	(0.006)	(0.004)	(0.004)	(0.002)	(0.005)	(0.004)	(0.006)
									
Observations	157	157	157	157	157	157	157	157	157
t-test	-1.515	0.362	-6.559	-3.459	-0.959	-0.749	2.677	0.0434	-1.729
CI-low	-3.189	-1.039	-10.11	-6.149	-3.815	-1.593	0.719	-1.930	-6.971
CI-high	0.409	1.510	-5.457	-1.701	1.308	0.712	4.649	2.017	0.436
p-val	0.132	0.718	7.75e-10	0.000701	0.339	0.455	0.00823	0.965	0.0858
Standard errors in parentheses									
