	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	s_IP	s_IP	s_IP	s_IP	s_IP	s_IP	s_IP	s_IP	s_IP
									
pi_r_yoy	0.049	1.260	3.373	3.867	1.888	2.625	-5.461	-0.870	-4.083
	(0.545)	(0.951)	(4.087)	(2.671)	(1.840)	(0.400)	(0.475)	(0.623)	(2.016)
Constant	0.000	-0.019	-0.012	-0.023	0.008	-0.013	0.079	-0.002	0.026
	(0.006)	(0.018)	(0.034)	(0.023)	(0.022)	(0.005)	(0.010)	(0.011)	(0.029)
									
Observations	158	158	158	158	158	158	158	158	158
t-test	0.0893	1.325	0.825	1.448	1.026	6.565	-11.50	-1.396	-2.025
CI-low	-1.020	-0.604	-4.638	-1.368	-1.718	1.841	-6.392	-2.091	-8.034
CI-high	1.117	3.124	11.38	9.102	5.494	3.409	-4.530	0.351	-0.132
p-val	0.929	0.187	0.411	0.150	0.306	7.31e-10	0	0.165	0.0445
Standard errors in parentheses									
