	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	s_T	s_T	s_T	s_T	s_T	s_T	s_T	s_T	s_T
									
i_diff	-153.695	-53.570	-79.132	-83.400	-86.445	-71.853	-89.135	-129.797	-116.729
	(32.495)	(9.575)	(9.284)	(8.888)	(14.365)	(8.020)	(61.884)	(19.619)	(11.601)
Constant	-0.032	0.059	0.033	0.035	-0.009	0.030	0.080	-0.098	0.022
	(0.024)	(0.018)	(0.015)	(0.015)	(0.013)	(0.013)	(0.101)	(0.033)	(0.023)
									
Observations	158	158	158	158	158	158	158	158	158
t-test	-4.730	-5.595	-8.524	-9.383	-6.018	-8.959	-1.440	-6.616	-10.06
CI-low	-217.4	-72.34	-97.33	-100.8	-114.6	-87.57	-210.4	-168.2	-139.5
CI-high	-90.01	-34.80	-60.94	-65.98	-58.29	-56.13	32.16	-91.34	-93.99
p-val	4.99e-06	9.67e-08	0	0	1.22e-08	0	0.152	5.59e-10	0
Standard errors in parentheses									
