	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	s_T	s_T	s_T	s_T	s_T	s_T	s_T	s_T	s_T
									
i_diff	-153.364	-52.437	-78.485	-84.843	-85.369	-77.353	-137.739	-125.081	-112.140
	(22.338)	(5.247)	(7.405)	(7.281)	(10.924)	(6.719)	(26.089)	(13.764)	(10.749)
pi_r_yoy	4.709	2.701	2.075	2.241	1.851	1.313	13.689	3.415	3.998
	(1.249)	(0.709)	(1.342)	(1.537)	(1.092)	(0.853)	(1.368)	(1.192)	(1.501)
Constant	-0.038	0.014	0.024	0.022	-0.003	0.026	-0.072	-0.083	-0.002
	(0.014)	(0.013)	(0.014)	(0.015)	(0.010)	(0.010)	(0.042)	(0.021)	(0.020)
									
Observations	158	158	158	158	158	158	158	158	158
t-test	-6.866	-9.993	-10.60	-11.65	-7.815	-11.51	-5.280	-9.088	-10.43
CI-low	-197.1	-62.72	-93	-99.11	-106.8	-90.52	-188.9	-152.1	-133.2
CI-high	-109.6	-42.15	-63.97	-70.57	-63.96	-64.18	-86.60	-98.10	-91.07
p-val	1.50e-10	0	0	0	0	0	4.31e-07	0	0
Standard errors in parentheses									
