	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	s_T	s_T	s_T	s_T	s_T	s_T	s_T	s_T	s_T
									
i_diff	-153.364	-52.437	-78.485	-84.843	-85.369	-77.353	-137.739	-125.081	-112.140
	(22.338)	(5.247)	(7.405)	(7.281)	(10.924)	(6.719)	(26.089)	(13.764)	(10.749)
pi_r_yoy	4.709	2.701	2.075	2.241	1.851	1.313	13.689	3.415	3.998
	(1.249)	(0.709)	(1.342)	(1.537)	(1.092)	(0.853)	(1.368)	(1.192)	(1.501)
Constant	-0.038	0.014	0.024	0.022	-0.003	0.026	-0.072	-0.083	-0.002
	(0.014)	(0.013)	(0.014)	(0.015)	(0.010)	(0.010)	(0.042)	(0.021)	(0.020)
									
Observations	158	158	158	158	158	158	158	158	158
t-test	3.771	3.812	1.547	1.458	1.695	1.539	10.01	2.865	2.665
CI-low	2.261	1.312	-0.555	-0.771	-0.290	-0.359	11.01	1.079	1.057
CI-high	7.156	4.090	4.706	5.253	3.991	2.985	16.37	5.751	6.940
p-val	0.000231	0.000198	0.124	0.147	0.0921	0.126	0	0.00475	0.00853
Standard errors in parentheses									
