	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	s_IP	s_IP	s_IP	s_IP	s_IP	s_IP	s_IP	s_IP	s_IP
									
i_diff	72.553	-173.183	-49.834	-129.406	-210.664	362.332	-34.070	-58.085	4,234.672
	(7.766)	(9.899)	(7.920)	(5.026)	(5.741)	(21.747)	(3.854)	(2.957)	(1,116.188)
Constant	0.046	0.244	0.013	-0.058	-0.397	0.651	0.083	-0.104	6.139
	(0.015)	(0.025)	(0.021)	(0.014)	(0.013)	(0.056)	(0.012)	(0.007)	(1.645)
									
Observations	235	235	235	235	235	235	235	235	235
t-test	9.342	-17.50	-6.292	-25.75	-36.70	16.66	-8.841	-19.65	3.794
CI-low	57.33	-192.6	-65.36	-139.3	-221.9	319.7	-41.62	-63.88	2047
CI-high	87.77	-153.8	-34.31	-119.6	-199.4	405	-26.52	-52.29	6422
p-val	0	0	1.53e-09	0	0	0	0	0	0.000189
Standard errors in parentheses									
