	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	s_IP	s_IP	s_IP	s_IP	s_IP	s_IP	s_IP	s_IP	s_IP
									
i_diff	73.627	-98.119	-82.323	-136.788	-187.038	198.329	-36.513	-55.688	1,328.082
	(7.211)	(10.150)	(9.190)	(3.985)	(9.025)	(8.229)	(4.057)	(2.653)	(295.639)
pi_r_yoy	-0.555	-16.883	6.675	7.904	-4.070	48.116	1.130	-1.534	639.938
	(1.671)	(1.678)	(1.318)	(1.809)	(1.073)	(1.998)	(0.678)	(0.380)	(46.244)
Constant	0.050	0.347	-0.046	-0.144	-0.350	0.634	0.061	-0.095	0.675
	(0.021)	(0.014)	(0.022)	(0.025)	(0.016)	(0.025)	(0.017)	(0.007)	(1.259)
									
Observations	235	235	235	235	235	235	235	235	235
t-test	10.21	-9.667	-8.958	-34.33	-20.72	24.10	-9.001	-20.99	4.492
CI-low	59.49	-118	-100.3	-144.6	-204.7	182.2	-44.46	-60.89	748.6
CI-high	87.76	-78.23	-64.31	-129	-169.3	214.5	-28.56	-50.49	1908
p-val	0	0	0	0	0	0	0	0	1.11e-05
Standard errors in parentheses									
