	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	s_IP	s_IP	s_IP	s_IP	s_IP	s_IP	s_IP	s_IP	s_IP
									
i_diff	73.627	-98.119	-82.323	-136.788	-187.038	198.329	-36.513	-55.688	1,328.082
	(7.211)	(10.150)	(9.190)	(3.985)	(9.025)	(8.229)	(4.057)	(2.653)	(295.639)
pi_r_yoy	-0.555	-16.883	6.675	7.904	-4.070	48.116	1.130	-1.534	639.938
	(1.671)	(1.678)	(1.318)	(1.809)	(1.073)	(1.998)	(0.678)	(0.380)	(46.244)
Constant	0.050	0.347	-0.046	-0.144	-0.350	0.634	0.061	-0.095	0.675
	(0.021)	(0.014)	(0.022)	(0.025)	(0.016)	(0.025)	(0.017)	(0.007)	(1.259)
									
Observations	235	235	235	235	235	235	235	235	235
t-test	-0.332	-10.06	5.064	4.369	-3.793	24.08	1.665	-4.034	13.84
CI-low	-3.829	-20.17	4.091	4.358	-6.173	44.20	-0.200	-2.280	549.3
CI-high	2.720	-13.59	9.258	11.45	-1.967	52.03	2.460	-0.789	730.6
p-val	0.740	0	8.36e-07	1.88e-05	0.000190	0	0.0972	7.43e-05	0
Standard errors in parentheses									
