	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	s_T	s_T	s_T	s_T	s_T	s_T	s_T	s_T	s_T
									
pi_r_yoy	-0.065	-16.225	-2.544	2.328	-14.049	25.066	-1.740	-0.365	471.379
	(1.577)	(0.824)	(0.789)	(2.621)	(0.876)	(1.498)	(1.103)	(0.958)	(22.220)
Constant	0.003	0.206	0.030	-0.020	0.007	0.142	0.053	0.002	-0.919
	(0.019)	(0.015)	(0.014)	(0.032)	(0.014)	(0.024)	(0.028)	(0.015)	(0.721)
									
Observations	235	235	235	235	235	235	235	235	235
t-test	-0.0411	-19.69	-3.225	0.888	-16.04	16.73	-1.578	-0.381	21.21
CI-low	-3.155	-17.84	-4.091	-2.809	-15.77	22.13	-3.901	-2.243	427.8
CI-high	3.026	-14.61	-0.998	7.465	-12.33	28	0.421	1.513	514.9
p-val	0.967	0	0.00144	0.375	0	0	0.116	0.703	0
Standard errors in parentheses									
