	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	s_diff	s_diff	s_diff	s_diff	s_diff	s_diff	s_diff	s_diff	s_diff
									
i_diff	-417.551	28.293	46.117	57.026	121.982	111.860	72.894	32.837	59.699
	(40.772)	(6.905)	(6.941)	(4.569)	(2.076)	(3.377)	(14.173)	(2.025)	(13.922)
Constant	-0.184	-0.029	-0.012	0.009	0.139	0.099	-0.124	0.045	0.047
	(0.073)	(0.017)	(0.016)	(0.012)	(0.004)	(0.008)	(0.039)	(0.006)	(0.012)
									
Observations	398	398	398	398	398	398	398	398	398
t-test	-10.24	4.097	6.644	12.48	58.77	33.13	5.143	16.21	4.288
CI-low	-497.5	14.76	32.51	48.07	117.9	105.2	45.12	28.87	32.41
CI-high	-337.6	41.83	59.72	65.98	126.1	118.5	100.7	36.81	86.99
p-val	0	5.07e-05	1.01e-10	0	0	0	4.26e-07	0	2.27e-05
Standard errors in parentheses									
