	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	s_diff	s_diff	s_diff	s_diff	s_diff	s_diff	s_diff	s_diff	s_diff
									
pi_r_yoy	-9.727	5.516	3.249	3.808	8.193	20.714	9.951	1.763	11.133
	(8.895)	(0.892)	(1.055)	(2.021)	(1.865)	(1.167)	(1.750)	(0.491)	(0.417)
Constant	0.038	-0.070	-0.022	-0.029	0.009	0.027	-0.193	-0.000	-0.038
	(0.098)	(0.018)	(0.019)	(0.026)	(0.017)	(0.012)	(0.046)	(0.009)	(0.009)
									
Observations	398	398	398	398	398	398	398	398	398
t-test	-1.094	6.183	3.079	1.884	4.393	17.76	5.687	3.594	26.72
CI-low	-27.16	3.768	1.181	-0.154	4.537	18.43	6.521	0.802	10.32
CI-high	7.706	7.265	5.317	7.769	11.85	23	13.38	2.725	11.95
p-val	0.275	1.57e-09	0.00222	0.0603	1.44e-05	0	2.52e-08	0.000367	0
Standard errors in parentheses									
