	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	s_diff	s_diff	s_diff	s_diff	s_diff	s_diff	s_diff	s_diff	s_diff
									
i_diff	-417.945	12.160	51.078	56.177	118.550	78.815	50.244	31.887	25.133
	(39.493)	(10.088)	(8.401)	(4.528)	(2.192)	(1.912)	(13.884)	(2.108)	(4.630)
pi_r_yoy	0.277	4.356	-1.220	1.366	1.117	8.796	7.224	0.935	9.230
	(7.635)	(1.528)	(1.189)	(1.764)	(0.254)	(0.415)	(1.599)	(0.342)	(0.547)
Constant	-0.185	-0.069	-0.004	-0.003	0.136	0.081	-0.228	0.043	-0.012
	(0.083)	(0.017)	(0.017)	(0.021)	(0.004)	(0.004)	(0.045)	(0.006)	(0.009)
									
Observations	398	398	398	398	398	398	398	398	398
t-test	-10.58	1.205	6.080	12.41	54.09	41.22	3.619	15.13	5.428
CI-low	-495.4	-7.612	34.61	47.30	114.3	75.07	23.03	27.76	16.06
CI-high	-340.5	31.93	67.54	65.05	122.8	82.56	77.46	36.02	34.21
p-val	0	0.229	2.83e-09	0	0	0	0.000334	0	9.98e-08
Standard errors in parentheses									
