	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock
									
pi_r_yoy_shock	-17.477	0.962	-2.364	-0.459	2.345	10.699	-0.644	-0.022	9.886
	(2.041)	(0.640)	(0.561)	(0.631)	(0.742)	(0.681)	(0.533)	(0.175)	(0.242)
Constant	-0.002	-0.000	-0.001	-0.000	0.000	0.001	-0.002	0.000	0.001
	(0.006)	(0.002)	(0.002)	(0.002)	(0.002)	(0.002)	(0.003)	(0.001)	(0.001)
									
Observations	397	397	397	397	397	397	397	397	397
t-test	-8.562	1.505	-4.214	-0.727	3.163	15.70	-1.208	-0.124	40.85
CI-low	-21.48	-0.291	-3.463	-1.696	0.892	9.364	-1.688	-0.364	9.412
CI-high	-13.48	2.216	-1.264	0.779	3.799	12.03	0.401	0.321	10.36
p-val	0	0.133	3.11e-05	0.468	0.00168	0	0.228	0.901	0
Standard errors in parentheses									
