	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock
									
i_diff_shock	-54.608	37.299	77.256	49.619	131.996	89.544	37.542	17.081	3.340
	(17.069)	(8.006)	(8.904)	(4.067)	(3.840)	(5.216)	(10.210)	(2.912)	(1.133)
pi_r_yoy_shock	-16.973	0.863	-2.732	-1.312	2.778	10.370	-0.840	-0.026	9.855
	(1.943)	(0.611)	(0.492)	(0.370)	(0.227)	(0.307)	(0.532)	(0.150)	(0.264)
Constant	-0.002	0.000	-0.001	-0.000	-0.000	-0.000	-0.001	-0.000	0.001
	(0.006)	(0.002)	(0.002)	(0.001)	(0.001)	(0.001)	(0.003)	(0.001)	(0.001)
									
Observations	397	397	397	397	397	397	397	397	397
t-test	-3.199	4.659	8.677	12.20	34.37	17.17	3.677	5.866	2.948
CI-low	-88.06	21.61	59.81	41.65	124.5	79.32	17.53	11.37	1.120
CI-high	-21.15	52.99	94.71	57.59	139.5	99.77	57.55	22.79	5.560
p-val	0.00149	4.35e-06	0	0	0	0	0.000269	9.46e-09	0.00338
Standard errors in parentheses									
