	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	s_IP	s_IP	s_IP	s_IP	s_IP	s_IP	s_IP	s_IP	s_IP
									
i_diff	381.780	-58.407	-88.413	-85.483	-206.683	-210.508	-65.780	-51.515	-168.964
	(54.645)	(4.355)	(5.569)	(1.139)	(6.216)	(10.712)	(15.742)	(3.396)	(39.246)
Constant	0.170	0.072	0.029	-0.008	-0.236	-0.188	0.120	-0.069	-0.129
	(0.111)	(0.011)	(0.013)	(0.003)	(0.016)	(0.024)	(0.046)	(0.012)	(0.055)
									
Observations	398	398	398	398	398	398	398	398	398
t-test	6.987	-13.41	-15.88	-75.03	-33.25	-19.65	-4.179	-15.17	-4.305
CI-low	274.7	-66.94	-99.33	-87.72	-218.9	-231.5	-96.64	-58.17	-245.9
CI-high	488.9	-49.87	-77.50	-83.25	-194.5	-189.5	-34.93	-44.86	-92.04
p-val	0	0	0	0	0	0	3.61e-05	0	2.11e-05
Standard errors in parentheses									
