	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	s_T	s_T	s_T	s_T	s_T	s_T	s_T	s_T	s_T
									
i_diff	-35.771	-30.114	-42.296	-28.456	-84.701	-98.649	7.114	-18.678	-109.265
	(4.962)	(4.230)	(4.355)	(4.232)	(5.882)	(5.838)	(5.052)	(4.055)	(17.714)
Constant	-0.014	0.043	0.017	0.001	-0.097	-0.089	-0.004	-0.025	-0.082
	(0.010)	(0.010)	(0.010)	(0.011)	(0.013)	(0.016)	(0.013)	(0.013)	(0.025)
									
Observations	398	398	398	398	398	398	398	398	398
t-test	-7.209	-7.118	-9.711	-6.724	-14.40	-16.90	1.408	-4.606	-6.168
CI-low	-45.50	-38.41	-50.83	-36.75	-96.23	-110.1	-2.789	-26.63	-144
CI-high	-26.05	-21.82	-33.76	-20.16	-73.17	-87.21	17.02	-10.73	-74.54
p-val	0	0	0	6.19e-11	0	0	0.160	5.53e-06	1.71e-09
Standard errors in parentheses									
