	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	s_diff	s_diff	s_diff	s_diff	s_diff	s_diff	s_diff	s_diff	s_diff
									
i_diff	46.622	-9.789	1.472	4.744	-3.301	4.683	11.781	50.492	59.699
	(2.745)	(5.555)	(5.349)	(3.450)	(7.246)	(3.105)	(8.025)	(2.539)	(13.922)
Constant	0.024	0.023	0.002	0.003	-0.006	0.002	-0.015	0.076	0.047
	(0.005)	(0.015)	(0.012)	(0.011)	(0.014)	(0.009)	(0.023)	(0.008)	(0.012)
									
Observations	477	477	477	477	477	477	477	410	398
t-test	16.98	-1.762	0.275	1.375	-0.456	1.508	1.468	19.89	4.288
CI-low	41.24	-20.68	-9.012	-2.018	-17.50	-1.403	-3.947	45.52	32.41
CI-high	52	1.098	11.96	11.51	10.90	10.77	27.51	55.47	86.99
p-val	0	0.0787	0.783	0.170	0.649	0.132	0.143	0	2.27e-05
Standard errors in parentheses									
