	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	s_diff	s_diff	s_diff	s_diff	s_diff	s_diff	s_diff	s_diff	s_diff
									
i_diff	46.622	-9.789	1.472	4.744	-3.301	4.683	11.781	50.492	59.699
	(3.699)	(8.418)	(8.223)	(5.410)	(10.806)	(5.124)	(13.229)	(3.607)	(17.632)
Constant	0.024	0.023	0.002	0.003	-0.006	0.002	-0.015	0.076	0.047
	(0.008)	(0.024)	(0.020)	(0.018)	(0.022)	(0.015)	(0.039)	(0.013)	(0.019)
									
Observations	477	477	477	477	477	477	477	410	398
t-test	12.60	-1.163	0.179	0.877	-0.305	0.914	0.891	14	3.386
CI-low	39.37	-26.29	-14.64	-5.858	-24.48	-5.361	-14.15	43.42	25.14
CI-high	53.87	6.709	17.59	15.35	17.88	14.73	37.71	57.56	94.26
p-val	0	0.245	0.858	0.381	0.760	0.361	0.374	0	0.000780
Standard errors in parentheses									
