	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	s_diff	s_diff	s_diff	s_diff	s_diff	s_diff	s_diff	s_diff	s_diff
									
pi_r_yoy	2.796	4.609	2.158	2.919	0.280	1.576	4.603	3.915	11.133
	(0.296)	(0.821)	(0.672)	(0.488)	(0.837)	(0.213)	(1.120)	(0.545)	(0.417)
Constant	-0.001	-0.058	-0.017	-0.006	-0.002	0.013	-0.087	0.005	-0.038
	(0.006)	(0.017)	(0.013)	(0.010)	(0.010)	(0.008)	(0.029)	(0.012)	(0.009)
									
Observations	477	477	477	477	477	477	477	410	398
t-test	9.431	5.617	3.213	5.985	0.335	7.385	4.111	7.187	26.72
CI-low	2.215	3.001	0.842	1.963	-1.360	1.158	2.408	2.847	10.32
CI-high	3.377	6.217	3.474	3.874	1.920	1.994	6.798	4.983	11.95
p-val	0	3.31e-08	0.00140	4.27e-09	0.738	0	4.65e-05	0	0
Standard errors in parentheses									
