	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	s_diff	s_diff	s_diff	s_diff	s_diff	s_diff	s_diff	s_diff	s_diff
									
i_diff	41.511	-26.924	-11.103	-5.614	-4.333	-12.264	-6.242	46.126	25.133
	(2.265)	(4.936)	(5.396)	(3.859)	(7.931)	(4.006)	(8.939)	(2.309)	(4.630)
pi_r_yoy	1.869	6.944	3.190	3.279	0.477	2.565	5.080	1.671	9.230
	(0.220)	(0.857)	(0.732)	(0.587)	(0.904)	(0.387)	(1.189)	(0.285)	(0.547)
Constant	0.021	-0.042	-0.018	-0.010	-0.006	0.005	-0.084	0.071	-0.012
	(0.004)	(0.014)	(0.013)	(0.011)	(0.014)	(0.008)	(0.029)	(0.007)	(0.009)
									
Observations	477	477	477	477	477	477	477	410	398
t-test	18.33	-5.455	-2.058	-1.455	-0.546	-3.061	-0.698	19.98	5.428
CI-low	37.07	-36.60	-21.68	-13.18	-19.88	-20.12	-23.76	41.60	16.06
CI-high	45.95	-17.25	-0.526	1.949	11.21	-4.412	11.28	50.65	34.21
p-val	0	7.91e-08	0.0402	0.146	0.585	0.00233	0.485	0	9.98e-08
Standard errors in parentheses									
